Word	POS	Verified	Category	Canonical Name	WNet SenseKey	WN30 Synset	KM30 Name	WN2.0 Synset	KM20 Name	WordNet gloss	WordNet example usage
aardvark	n		animal	aardvark	aardvark%1:05:00::	102082791	anteater_n3	101999961	anteater_n3	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata	
aardwolf	n		animal	aardwolf	aardwolf%1:05:00::	102118176	aardwolf_n1	102034376	aardwolf_n1	striped hyena of southeast Africa that feeds chiefly on insects	
abandon	v				abandon%2:40:00::	202228031	abandon_v1	202163637	abandon_v1	forsake, leave behind;	We abandoned the old car in the empty parking lot
abbey	n		building	abbey	abbey%1:06:02::	102667576	abbey_n1	102576199	abbey_n1	a church associated with a monastery or convent	
abdomen	n		bpart	belly	abdomen%1:08:00::	105556943	belly_n1	105238880	belly_n1	the region of the body of a vertebrate between the thorax and the pelvis	
abdominal	adj				abdominal%3:01:00::	302934594	abdominal_a1	302792314	abdominal_a1	of or relating to or near the abdomen;	abdominal muscles
ability	n	okay	abs	ability	ability%1:07:00::	105200169	ability_n1	104904666	ability_n1	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment	
able	adj	okay	?		able%3:00:00::	300001740	able_a1	300001740	able_a1	(usually followed by `to') having the necessary means or skill or know-how or authority to do something;	able to swim; she was able to program her computer; we were at last able to buy a car; able to get a grant for the project
abnormal	adj				abnormal%3:00:00::	301595596	abnormal_a1	301546359	abnormal_a1	not normal; not typical or usual or regular or conforming to a norm;	abnormal powers of concentration; abnormal amounts of rain; abnormal circumstances; an abnormal interest in food
abnormality	n		abs	abnormality	abnormality%1:26:00::	114501726	abnormality_n1	113676023	abnormality_n1	an abnormal physical condition resulting from defective genes or developmental deficiencies	
abnormally	r				abnormally%4:02:00::	400227171	abnormally_r1	400230093	abnormally_r1	in an abnormal manner;	they were behaving abnormally; his blood pressure was abnormally low
aboard	r				aboard%4:02:01::	400249878	aboard_r1	400252849	aboard_r1	on a ship, train, plane or other vehicle	
abound	v				abound%2:42:00::	202715279	abound_v1	202635699	abound_v1	be abundant or plentiful; exist in large quantities	
about	r	okay	?		about%4:02:00::	400007015	about_r1	400006660	about_r1	(of quantities) imprecise but fairly close to correct;	lasted approximately an hour; in just about a minute; he's about 30 years old; I've had about all I can stand; we meet about once a month; some forty people came; weighs around a hundred pounds; roughly $3,000; holds 3 gallons, more or less; 20 or so people were at the party
above	r	okay	dirn		above%4:02:00::	400079947	above_r1	400080673	above_r1	at an earlier place;	see above
abracadabra	n	y								a word said by magicians when performing a magic trick (Google)	
abrasion	n	y		abrasion	abrasion%1:22:00::	113423615	abrasion_n2	112664339	abrasion_n2	erosion by friction	
abroad	r				abroad%4:02:00::	400104003	abroad_r1	400104900	abroad_r1	to or in a foreign country;	they had never travelled abroad
abrupt	adj				abrupt%5:00:00:staccato:00	302294122	abrupt_s1	302212502	abrupt_s1	marked by sudden changes in subject and sharp transitions;	abrupt prose
abruptly	r				abruptly%4:02:00::	400061528	suddenly_r2	400062561	suddenly_r2	quickly and without warning;	he stopped suddenly
absence	n		att	absence	absence%1:26:00::	113960974	absence_n1	113167340	absence_n1	the state of being absent;	he was surprised by the absence of any explanation
absent	adj				absent%3:00:00::	301847672	absent_a1	301787034	absent_a1	not being in a specified place	
absolute	adj				absolute%3:00:00::	300005205	absolute_a1	300005243	absolute_a1	perfect or complete or pure;	absolute loyalty; absolute silence; absolute truth; absolute alcohol
absolutely	r				absolutely%4:02:00::	400008997	perfectly_r1	400008642	perfectly_r1	completely and without qualification; used informally as intensifiers;	an absolutely magnificent painting; a perfectly idiotic idea; you're perfectly right; utterly miserable; you can be dead sure of my innocence; was dead tired; dead right
absorb	v	okay	act		absorb%2:35:01::	201539633	absorb_v1	201497173	absorb_v1	become imbued;	The liquids, light, and gases absorb
absorbent	adj				absorbent%3:00:00::	300006336	absorptive_a1	300007380	absorbent_a1	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.);	as absorbent as a sponge
absorption	n		nom	absorption	absorption%1:22:00::	113423922	absorption_n1	112664628	absorption_n1	(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid	
absorptive	adj				absorptive%3:00:00::	300006336	absorptive_a1	300007380	absorbent_a1	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.);	as absorbent as a sponge
abstinence	n		att	abstinence	abstinence%1:07:00::	104882622	abstention_n1	104642852	abstention_n1	the trait of abstaining (especially from alcohol)	
abstract	adj	okay	abs								
abstraction	n	okay	nom	abstraction	abstraction%1:09:00::	105854150	abstraction_n1	105515034	abstraction_n1	a concept or idea not associated with any specific instance;	he loved her only in the abstract--not in person
abstractly	r				abstractly%4:02:00::	400197947	abstractly_r1	400201137	abstractly_r1	in abstract terms	
abundance	n		att	abundance	abundance%1:07:00::	105115040	abundance_n1	104832088	abundance_n1	the property of a more than adequate quantity or supply;	an age of abundance
abundant	adj				abundant%3:00:00::	300013887	abundant_a1	300013805	abundant_a1	present in great quantity;	an abundant supply of water
abuse	v				abuse%2:41:00::	202516594	abuse_v1	202441620	abuse_v1	treat badly;	This boss abuses his workers; She is always stepping on others to get ahead
acacia	n		plant	acacia	acacia%1:20:00::	111756092	acacia_n1	111010038	acacia_n1	any of various spiny trees or shrubs of the genus Acacia	
academic	adj				academic%3:01:00::	302599939	academic_a1	302505802	academic_a1	associated with academia or an academy;	the academic curriculum; academic gowns
academy	n		org	academy	academy%1:14:00::	108279298	academy_n1	107779324	academy_n1	a secondary school (usually private)	
accelerate	v				accelerate%2:30:00::	200438178	accelerate_v1	200425643	accelerate_v1	move faster;	The car accelerated
acceleration	n	okay	att	acceleration	acceleration%1:07:00::	105060783	acceleration_n1	104786831	acceleration_n1	an increase in rate of change;	modern science caused an acceleration of cultural change
accelerator	n		obj	accelerator	accelerator%1:06:02::	102670683	accelerator_n1	102579204	accelerator_n1	a pedal that controls the throttle valve;	he stepped on the gas
accelerometer	n		measure	accelerometer	accelerometer%1:06:00::	102670935	accelerometer_n1	102579456	accelerometer_n1	an instrument for measuring the acceleration of aircraft or rockets	
accent	n			accent	accent%1:10:01::	107131511	accent_n1	106691922	accent_n1	distinctive manner of oral expression;	he couldn't suppress his contemptuous accent; she had a very clear speech pattern
accept	v				accept%2:31:00::	200686447	accept_v1	200663436	accept_v1	consider or hold as true;	I cannot accept the dogma of this church; accept an argument
acceptable	adj				acceptable%3:00:00::	300017782	acceptable_a1	300018393	acceptable_a1	worthy of acceptance or satisfactory;	acceptable levels of radiation; performances varied from acceptable to excellent
acceptance	n			acceptance	acceptance%1:09:00::	106193727	acceptance_n1	105818098	acceptance_n1	the mental attitude that something is believable and should be accepted as true;	he gave credence to the gossip; acceptance of Newtonian mechanics was unquestioned for 200 years
acceptor	n			acceptor	acceptor%1:27:00::	114583843	acceptor_n1	113748799	acceptor_n1	(chemistry) in the formation of a coordinate bond it is the compound to which electrons are donated	
access	v	okay	act		access%2:38:00::	202007417	get_at_v1	201949369	get_at_v1	reach or gain access to;	How does one access the attic in this house?; I cannot get to the T.V. antenna, even if I climb on the roof
accessible	adj				accessible%5:00:00:comprehensible:00	300533221	approachable_s1	300504625	approachable_s1	capable of being read with comprehension;	readily accessible to the nonprofessional reader; the tales seem more approachable than his more difficult novels
accessory	n	y		accessory	accessory%1:06:00::	102671421	supplement_n3	102579942	supplement_n3	a supplementary component that improves capability	
accident	n	okay	abs	accident	accident%1:11:01::	107301336	accident_n1	106853143	accident_n1	an unfortunate mishap; especially one causing damage or injury	
