Word	Type
Adelaide	Thing
Afghanistan	location_n1
Africa	Thing
Alabama	location_n1
Alaska	location_n1
Albania	Thing
Albany	Thing
Alberta	location_n1
Algeria	Thing
Amarillo	Thing
Amazon	Thing
America	location_n1
Andorra	Thing
Angola	Thing
Angolan	person_n1
Antarctica	Thing
April	period_n1
Arabian	person_n1
Argentina	location_n1
Arizona	Thing
Arkansas	location_n1
Armenia	Thing
Asia	Thing
Asian	person_n1
Asiatic	person_n1
Assam	Thing
Atlantic	Thing
August	period_n1
Austin	location_n1
Australia	location_n1
Australian	person_n1
Austria	Thing
Azerbaijan	Thing
Bahamas	location_n1
Bahamian	person_n1
Bahrain	Thing
Bangladesh	Thing
Barbary	Thing
Beijing	Thing
Belarus	Thing
Belgium	Thing
Belize	Thing
Benin	Thing
Berkeley	Thing
Berkshire	Thing
Bhutan	Thing
Bissau	Thing
Bolivian	person_n1
Bosnia	Thing
Boston	Thing
Botswana	Thing
Bronx	Thing
Brunei	Thing
Brunswick	Thing
Bryan	Thing
Bulgaria	Thing
Burma	Thing
Burmese	person_n1
Burundi	location_n1
Caledonia	Thing
California	location_n1
Cambodia	Thing
Cambrian	Thing
Cameroon	Thing
Campeche	Thing
Canada	location_n1
Caribbean	water_n2
Carolina	Thing
Caspian	Thing
Chicago	location_n1
Chile	Thing
Chilean	person_n1
Chongqing	Thing
Colombia	location_n1
Colorado	Thing
Columbia	Thing
Connecticut	location_n1
Cooperstown	Thing
Cornwall	Thing
Croatia	Thing
Cuba	Thing
Cumbria	Thing
Cyprus	Thing
Dakota	Thing
Dallas	Thing
Darwin	Thing
Dawson	Thing
December	period_n1
Delaware	location_n1
Denmark	Thing
Denver	Thing
Devon	Thing
Djibouti	Thing
Dominica	Thing
Dominican	person_n1
Durango	Thing
Durham	Thing
Ecuador	location_n1
Egypt	location_n1
Egyptian	person_n1
England	location_n1
Eritrea	Thing
Essex	Thing
Estonia	location_n1
Ethiopia	location_n1
Ethiopian	person_n1
Eurasia	Thing
Europe	Thing
Fe	element_n2
February	period_n1
Fiji	Thing
Finland	location_n1
Florida	location_n1
France	location_n1
Fresno	Thing
Friday	period_n1
Gabon	Thing
Gambia	Thing
Gambian	person_n1
Gansu	Thing
Georgia	Thing
Germany	location_n1
Ghana	Thing
Gloucestershire	Thing
Gondwanaland	Thing
Greece	Thing
Grenada	Thing
Guangdong	Thing
Guatemala	Thing
Guayaquil	Thing
Guiana	Thing
Guinean	person_n1
Guyana	location_n1
Haiti	Thing
Haitian	person_n1
Hampshire	Thing
Hawaii	location_n1
Hebei	Thing
Hershey	Thing
Hertfordshire	Thing
Holland	Thing
Honduras	location_n1
Houston	location_n1
Hunan	Thing
Hungary	Thing
Iceland	location_n1
Idaho	location_n1
Illinois	location_n1
India	location_n1
Indian	person_n1
Indiana	Thing
Indonesia	Thing
Indonesian	person_n1
Iowa	location_n1
Iran	Thing
Iraq	Thing
Ireland	location_n1
Israel	Thing
Italy	Thing
Ithaca	Thing
J	definite_quantity_n1
Jamaica	Thing
Jamaican	person_n1
Jan	period_n1
January	period_n1
Javan	person_n1
Jordan	Thing
July	period_n1
June	period_n1
Kansas	location_n1
Kazakhstan	Thing
Kent	Thing
Kentucky	location_n1
Kenya	location_n1
Kiribati	Thing
Korean	person_n1
Kuwait	Thing
Kyrgyzstan	Thing
Lancashire	Thing
Latin	Thing
Latvia	Thing
Laurasia	Thing
Lebanon	Thing
Leicestershire	Thing
Leo	person_n1
Lesotho	Thing
Liberia	location_n1
Liberian	person_n1
Libya	Thing
Libyan	person_n1
Liechtenstein	Thing
Lincoln	Thing
Lincolnshire	Thing
Lithuania	Thing
Logan	Thing
Louisiana	location_n1
Lubbock	Thing
Luxembourg	Thing
M2	Thing
M3	Thing
Macau	Thing
Macedonia	Thing
Madagascar	location_n1
Madison	Thing
Maine	location_n1
Malawi	Thing
Malay	person_n1
Malayan	person_n1
Malaysia	location_n1
Mali	location_n1
Malta	Thing
Manitoba	Thing
Martinique	Thing
Maryland	location_n1
Massachusetts	location_n1
Mauritania	Thing
Mauritius	Thing
Mediterranean	Thing
Mexican	person_n1
Mexico	location_n1
Michigan	location_n1
Minnesota	location_n1
Mississippi	Thing
Missouri	location_n1
Mohave	person_n1
Mojave	person_n1
Moldova	Thing
Mon	period_n1
Monaco	Thing
Monday	period_n1
Mongolia	Thing
Mongolian	person_n1
Monroe	Thing
Montana	location_n1
Montenegro	Thing
Mozambique	Thing
Namibia	location_n1
Nancy	Thing
Nassau	Thing
Nauru	Thing
Nebraska	location_n1
Nepal	location_n1
Netherlands	Thing
Nevada	Thing
Nicaragua	Thing
Niger	Thing
Nigeria	Thing
Norfolk	location_n1
Norman	Thing
Northumberland	Thing
Norway	Thing
Norwegian	person_n1
November	period_n1
Nunavut	Thing
O	substance_n1
Oaxaca	Thing
October	period_n1
Ogden	Thing
Ohio	Thing
Oklahoma	location_n1
Oman	location_n1
Ontario	water_n2
Oregon	Thing
P	element_n2
Pakistan	Thing
Palestine	Thing
Panama	location_n1
Panamanian	person_n1
Pangaea	Thing
Papuan	Thing
Paraguay	Thing
Paraguayan	person_n1
Pennsylvania	location_n1
Persian	person_n1
Peru	location_n1
Peruvian	person_n1
Philippine	Thing
Philippines	Thing
Pierre	Thing
Poland	Thing
Portugal	Thing
Princeton	Thing
Puebla	Thing
Q	Thing
Qatar	Thing
Quebec	location_n1
Rio	Thing
Romania	Thing
Russia	location_n1
Rutland	Thing
Rwanda	location_n1
Saharan	Thing
Salvador	Thing
Samoa	Thing
Saskatchewan	Thing
Saudi	person_n1
Schenectady	Thing
Scotland	location_n1
Seattle	Thing
Senegal	Thing
September	period_n1
Serbia	Thing
Siberian	person_n1
Sichuan	Thing
Singapore	Thing
Sion	Thing
Slovakia	Thing
Slovenia	Thing
Somali	person_n1
Somalia	Thing
Somerset	Thing
Spain	location_n1
Spanish	Thing
Sudan	location_n1
Sumatran	person_n1
Sur	Thing
Suriname	Thing
Sussex	Thing
Swaziland	Thing
Sweden	Thing
Swiss	Thing
Switzerland	Thing
Syracuse	Thing
Syria	Thing
Tajikistan	Thing
Tanzania	location_n1
Tennessee	location_n1
Texas	location_n1
Thailand	location_n1
Thursday	period_n1
Tianjin	Thing
Tibet	Thing
Tibetan	person_n1
Togo	Thing
Tonga	Thing
Tucson	Thing
Tuesday	period_n1
Tunisia	Thing
Turkmenistan	Thing
Tuvalu	Thing
Uganda	location_n1
Ukraine	Thing
Uruguay	Thing
Utah	location_n1
Uzbekistan	Thing
Vancouver	Thing
Vanuatu	Thing
Venezuela	Thing
Veracruz	Thing
Vermont	location_n1
Vienna	Thing
Vietnam	location_n1
Vietnamese	person_n1
Virginia	location_n1
Washington	location_n1
Wednesday	period_n1
Wilson	Thing
Wisconsin	location_n1
Wyoming	location_n1
Xinjiang	Thing
Yemen	Thing
Yorkshire	Thing
Yukon	water_n2
Yuma	person_n1
Yunnan	Thing
Z	event_n1
Zambia	Thing
Zimbabwe	Thing
aardvark	animal_n1
aardwolf	animal_n1
abbey	building_n1
abdomen	body_part_n1
ability	quality_n1
abnormality	state_n4
abrasion	phenomenon_n1
absence	state_n4
absorption	phenomenon_n1
abstinence	Thing
abstraction	knowledge_n1
abundance	property_n3
acacia	plant_n2
academy	social_group_n1
acceleration	property_n3
accelerator	artifact_n1
accelerometer	measuring_instrument_n1
accent	auditory_communication_n1
acceptance	knowledge_n1
acceptor	material_n1
accessory	Thing
accident	event_n1
accomplishment	action_n1
accordance	event_n1
accordion	device_n1
account	Thing
accumulation	phenomenon_n1
accuracy	quality_n1
acetyl	Thing
acetylene	material_n1
achievement	action_n1
acid	material_n1
acidity	property_n3
acknowledgement	state_n4
acknowledgment	message_n2
acne	illness_n1
acorn	plant_part_n1
acre	definite_quantity_n1
acrobat	person_n1
acrosome	body_part_n1
actin	material_n1
action	action_n1
activation	phenomenon_n1
activator	substance_n1
activity	activity_n1
actor	person_n1
actress	person_n1
actuality	state_n4
ad	message_n2
addax	animal_n1
adder	animal_n1
addiction	state_n4
addition	action_n1
additive	Thing
address	location_n1
adenine	material_n1
adenosine	material_n1
adenovirus	microorganism_n1
adhesive	material_n1
adjective	Thing
adjustment	event_n1
administration	period_n1
administrator	person_n1
admiral	person_n1
admiration	feeling_n1
admission	action_n1
adolescence	period_n1
adrenaline	material_n1
adult	person_n1
adulthood	period_n1
advancement	message_n2
advantage	quality_n1
advection	Thing
adventure	activity_n1
adverb	Thing
advert	message_n2
advertisement	message_n2
advice	message_n2
aeration	phenomenon_n1
aerial	device_n1
aeroplane	transport_n1
aerosol	phenomenon_n1
affair	state_n4
affect	feeling_n1
affection	feeling_n1
affirmation	message_n2
afghan	artifact_n1
afternoon	period_n1
age	property_n3
agency	social_group_n1
agent	Thing
aggregate	Thing
aggregation	Thing
aggression	Thing
aggressiveness	Thing
agouti	animal_n1
agreement	message_n2
agriculture	event_n1
agua	animal_n1
ailment	state_n4
aim	knowledge_n1
air	substance_n1
aircraft	transport_n1
