QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
0.91	most	aardvark	has-part	ear	Most aardvarks has-part ears.	1.00	y	n	n	animal_n1	body_part_n1	a45696|a45697
0.84	most	aardvark	dig	burrow	Most aardvarks dig burrows.	1.00	y	n	n	animal_n1	formation_n5	KBCompletion
0.84	most	aardvark	eat	insect	Most aardvarks eat insects.	1.00	y	n	n	animal_n1	insect_n1	a72383|a72384|a72385
0.84	most	aardvark	has-part	leg	Most aardvarks has-part legs.	1.00	y	n	n	animal_n1	body_part_n1	a73189
0.75	most	aardvark	eat	ant	Most aardvarks eat ants.	1.00	y	n	n	animal_n1	insect_n1	a23228
0.75	most	aardvark	has-part	claw	Most aardvarks has-part claws.	1.00	y	n	n	animal_n1	body_part_n1	a24394
0.75	most	aardvark	has-part	tongue	Most aardvarks has-part tongues.	1.00	y	n	n	animal_n1	body_part_n1	a64820|a64821|a64822|a64823|a64824|a64825
0.67	most	aardvark	has-part	head	Most aardvarks has-part heads.	1.00	y	n	n	animal_n1	body_part_n1	a27546
0.58	most	aardvark	eat	termite	Most aardvarks eat termites.	1.00	y	n	n	animal_n1	insect_n1	a82507|a82508|a82509
0.58	most	aardvark	has-part	tooth	Most aardvarks has-part teeth.	1.00	y	n	n	animal_n1	body_part_n1	a65195|a65196|a65197|a65198
0.58	most	aardvark	hide in	burrow	Most aardvarks hide in burrows.	0.67	y	n	n	animal_n1	formation_n5	KBCompletion
0.50	some	aardvark	keep	burrow	Some aardvarks keep burrows.	1.00	y	n	n	animal_n1	formation_n5	a36926
0.50	some	aardvark	occur in	habitat	Some aardvarks occur in habitats.	1.00	y	n	n	animal_n1	location_n1	a11010
0.50	some	aardvark	shake	head	Some aardvarks shake heads.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.09	some	aardvark	make	milk	Some aardvarks make milk.	1.00	y	n	n	animal_n1	food_n1	a50117
0.33	some	absorption	occur in	pig	Some absorption occurs in pigs.	1.00	y	n	n	phenomenon_n1	animal_n1	a38428
0.67	most	acid	kill	ant	Most acid kills ants.	1.00	y	n	n	substance_n1	insect_n1	a83482
0.16	some	actor	throw	pigeon	Some actors throw pigeons.	1.00	y	n	n	person_n1	bird_n1	a55143
0.58	most	adult	eat	fish	Most adults eat fish.	1.00	y	n	n	person_n1	fish_n1	a51560|a77428|a77429|a77430|a77431|a77432|a77433|a77434|a77435|a77436|a77437
0.58	most	adult	prefer	dog	Most adults prefer dogs.	1.00	y	n	n	person_n1	animal_n1	a74518
0.58	most	adult	raise	dog	Most adults raise dogs.	0.50	y	n	n	person_n1	animal_n1	KBCompletion
0.50	some	adult	love	cat	Some adults love cats.	1.00	y	n	n	person_n1	animal_n1	a41687
0.50	some	adult	survive	predator	Some adults survive predators.	1.00	y	n	n	person_n1	animal_n1	a73240
0.41	some	adult	learn about	bird	Some adults learn about birds.	1.00	y	n	n	person_n1	bird_n1	a61468
0.33	some	adult	eat	prey	Some adults eat prey.	1.00	y	n	n	person_n1	animal_n1	a52571|a52572
0.33	some	adult	learn about	chicken	Some adults learn about chickens.	1.00	y	n	n	person_n1	bird_n1	KBCompletion
0.25	some	adult	possess	louse	Some adults possess lice.	1.00	y	n	n	person_n1	insect_n1	a38839
0.25	some	adult	ride	pony	Some adults ride ponies.	1.00	y	n	n	person_n1	animal_n1	a32256|a32257|a32258|a32259|a32260|a32261|a32262|a32263|a32264
0.25	some	adult	seek	mammal	Some adults seek mammals.	1.00	y	n	n	person_n1	animal_n1	a71995
0.09	some	adult	raise	falcon	Some adults raise falcons.	0.50	y	n	n	person_n1	bird_n1	a47002
0.58	most	Africa	possess	herbivore	Most africa possesses herbivores.	1.00	y	n	n	Thing	animal_n1	a46246
0.25	some	agent	visit	buffalo	Some agents visit buffalo.	1.00	y	n	n	Thing	animal_n1	a83544
0.16	some	agent	raise	chicken	Some agents raise chickens.	0.00	y	n	n	Thing	bird_n1	a83231|a83232
0.33	some	air	come from	animal	Some air comes from animals.	1.00	y	n	n	substance_n1	animal_n1	a33693
0.84	most	alligator	eat	meat	Most alligators eat meat.	1.00	y	n	n	animal_n1	substance_n1	a72563|a72564|a84645
0.75	most	alligator	come from	reptile	Most alligators come from reptiles.	1.00	y	n	n	animal_n1	animal_n1	a70934|a70935
0.75	most	alligator	follow	prey	Most alligators follow prey.	1.00	y	n	n	animal_n1	animal_n1	KBCompletion
0.75	most	alligator	live in	region	Most alligators live in regions.	1.00	y	n	n	animal_n1	location_n1	a71312|a71313|a71314
0.67	most	alligator	live in	Florida	Most alligators live in Florida.	1.00	y	n	n	animal_n1	location_n1	a62498|a69485|a69486
0.67	most	alligator	live in	swamp	Most alligators live in swamp.	0.75	y	n	n	animal_n1	Thing	a70703|a70704
0.67	most	alligator	seek	mate	Most alligators seek mates.	1.00	y	n	n	animal_n1	animal_n1	a43031|a77957
0.60	most	alligator	eat	frog	Most alligators eat frogs.	1.00	y	n	n	animal_n1	animal_n1	a38237|a38238|a38239
0.58	most	alligator	eat	mammal	Most alligators eat mammals.	1.00	y	n	n	animal_n1	animal_n1	a582|a583|a85800
0.58	most	alligator	live in	lagoon	Most alligators live in lagoons.	1.00	y	n	n	animal_n1	water_n2	a17324|a47405
0.58	most	alligator	live in	stream	Most alligators live in streams.	1.00	y	n	n	animal_n1	water_n2	a2322
0.58	most	alligator	pick up	frog	Most alligators pick up frogs.	0.67	y	n	n	animal_n1	animal_n1	KBCompletion
0.50	some	alligator	eat	duck	Some alligators eat ducks.	1.00	y	n	n	animal_n1	bird_n1	a85333
0.50	some	alligator	eat	rodent	Some alligators eat rodents.	1.00	y	n	n	animal_n1	animal_n1	a24272
0.50	some	alligator	eat	snake	Some alligators eat snakes.	0.75	y	n	n	animal_n1	animal_n1	a70430
0.50	some	alligator	live in	habitat	Some alligators live in habitats.	1.00	y	n	n	animal_n1	location_n1	a76923
0.50	some	alligator	live in	lake	Some alligators live in lakes.	1.00	y	n	n	animal_n1	water_n2	a42571|a69775|a69776|a82432|a82433|a82434|a82435
0.50	some	alligator	live in	wetland	Some alligators live in wetland.	1.00	y	n	n	animal_n1	Thing	a67806|a67807
0.50	some	alligator	share	habitat	Some alligators share habitats.	1.00	y	n	n	animal_n1	location_n1	a52141|a52142|a52143|a52144
0.41	some	alligator	eat	anything	Some alligators eat anything.	1.00	y	n	n	animal_n1	Thing	a974|a69223|a69224|a69225|a69226
0.41	some	alligator	eat	fish	Some alligators eat fish.	1.00	y	n	n	animal_n1	fish_n1	a15375|a15376|a15377|a15378|a15379|a43578|a43579
0.33	some	alligator	live in	marsh	Some alligators live in marsh.	1.00	y	n	n	animal_n1	Thing	a5299|a5300|a5301|a65729|a71242
0.25	some	alligator	eat	mallard	Some alligators eat mallards.	1.00	y	n	n	animal_n1	bird_n1	a79639
0.25	some	alligator	live in	Louisiana	Some alligators live in Louisiana.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.09	some	alligator	live in	moat	Some alligators live in moats.	1.00	y	n	n	animal_n1	artifact_n1	a25044
0.91	most	amphibian	emerge from	water	Most amphibians emerge from water.	1.00	y	n	n	animal_n1	substance_n1	a62404
0.91	most	amphibian	thrive in	pond	Most amphibians thrive in ponds.	1.00	y	n	n	animal_n1	water_n2	a53191
0.84	most	amphibian	develop	limb	Most amphibians develop limbs.	0.67	y	n	n	animal_n1	body_part_n1	a4778|a4779
0.84	most	amphibian	has-part	limb	Most amphibians has-part limbs.	1.00	y	n	n	animal_n1	body_part_n1	a14361
0.84	most	amphibian	has-part	skin	Most amphibians has-part skin.	0.33	y	n	n	animal_n1	body_part_n1	a32784|a32785|a32786|a32787|a32788|a32789|a32790|a32791|a32792|a32793|a32794|a32795|a32796|a32797|a32798|a32799
