QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
1.00	most	aardvark	isa	mammal	Aardvark isa mammal.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	aardwolf	isa	hyena	Aardwolf isa hyena.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	abbey	isa	church	Abbey isa church.	1.00	n	n	n	building_n1	building_n1	WordNet3.0
1.00	most	abdomen	isa	body part	Abdomen isa body part.	1.00	n	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	ability	isa	quality	Ability isa quality.	1.00	n	n	n	quality_n1	quality_n1	WordNet3.0
1.00	most	abnormality	isa	condition	Abnormality isa condition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	abrasion	isa	erosion	Abrasion isa erosion.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	absence	isa	deficiency	Absence isa deficiency.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	absence	isa	lack	Absence isa lack.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	absorption	isa	process	Absorption isa process.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	abstinence	isa	trait	Abstinence isa trait.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	abstraction	isa	concept	Abstraction isa concept.	1.00	n	n	n	knowledge_n1	knowledge_n1	WordNet3.0
1.00	most	abundance	isa	amount	Abundance isa amount.	1.00	n	n	n	property_n3	property_n3	WordNet3.0
1.00	most	acacia	isa	tree	Acacia isa tree.	1.00	n	n	n	plant_n2	plant_n2	WordNet3.0
1.00	most	academy	isa	school	Academy isa school.	1.00	n	n	n	social_group_n1	social_group_n1	WordNet3.0
1.00	most	acceleration	isa	alteration	Acceleration isa alteration.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	accelerator	isa	pedal	Accelerator isa pedal.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	accelerometer	isa	measuring device	Accelerometer isa measuring device.	1.00	n	n	n	measuring_instrument_n1	measuring_instrument_n1	WordNet3.0
1.00	most	accent	isa	auditory communication	Accent isa auditory communication.	1.00	n	n	n	auditory_communication_n1	auditory_communication_n1	WordNet3.0
1.00	most	acceptance	isa	attitude	Acceptance isa attitude.	1.00	n	n	n	knowledge_n1	knowledge_n1	WordNet3.0
1.00	most	acceptor	isa	compound	Acceptor isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	accessory	isa	constituent	Accessory isa constituent.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	accessory	isa	element	Accessory isa element.	1.00	n	n	n	Thing	element_n2	WordNet3.0
1.00	most	accident	isa	misfortune	Accident isa misfortune.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	accomplishment	isa	action	Accomplishment isa action.	1.00	n	n	n	action_n1	action_n1	WordNet3.0
1.00	most	accordance	isa	event	Accordance isa event.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	accordion	isa	device	Accordion isa device.	1.00	n	n	n	device_n1	device_n1	WordNet3.0
1.00	most	accordion	isa	device	Accordion isa device.	1.00	n	n	n	device_n1	device_n1	WordNet3.0
1.00	most	account	isa	indication	Account isa indication.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	accumulation	isa	process	Accumulation isa process.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	accuracy	isa	quality	Accuracy isa quality.	1.00	n	n	n	quality_n1	quality_n1	WordNet3.0
1.00	most	acetyl	isa	entity	Acetyl isa entity.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	acetylene	isa	compound	Acetylene isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	achievement	isa	action	Achievement isa action.	1.00	n	n	n	action_n1	action_n1	WordNet3.0
1.00	most	acid	isa	compound	Acid isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	acidity	isa	concentration	Acidity isa concentration.	1.00	n	n	n	property_n3	property_n3	WordNet3.0
1.00	most	acknowledgement	isa	situation	Acknowledgement isa situation.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	acknowledgment	isa	statement	Acknowledgment isa statement.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	acne	isa	disease	Acne isa disease.	1.00	n	n	n	illness_n1	illness_n1	WordNet3.0
