QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
1.00	most	aardvark	has-part	brain	Most aardvarks have (part) brains.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	breast	Most aardvarks have (part) breasts.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	cell membrane	Most aardvarks have (part) cell membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	cell	Most aardvarks have (part) cells.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	chest cavity	Most aardvarks have (part) chest cavities.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	chest	Most aardvarks have (part) chests.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	corpus	Most aardvarks have (part) corpi.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	cytoplasm	Most aardvarks have (part) cytoplasm.	-	y	n	n	animal_n1	substance_n1	WordNet3.0
1.00	most	aardvark	has-part	ear	Most aardvarks have (part) ears.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	face	Most aardvarks have (part) faces.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	head	Most aardvarks have (part) heads.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	nucleus	Most aardvarks have (part) nuclei.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	pedal extremity	Most aardvarks have (part) pedal extremities.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	pilus	Most aardvarks have (part) piluses.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	plasma membrane	Most aardvarks have (part) plasma membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	rib cage	Most aardvarks have (part) rib cages.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	section	Most aardvarks have (part) sections.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardvark	has-part	skull	Most aardvarks have (part) skulls.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	sternum	Most aardvarks have (part) sterna.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	vacuole	Most aardvarks have (part) vacuoles.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardvark	has-part	vertebrate foot	Most aardvarks have (part) vertebrate feet.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	brain	Most aardwolfs have (part) brains.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	breast	Most aardwolfs have (part) breasts.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	cell membrane	Most aardwolfs have (part) cell membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	cell	Most aardwolfs have (part) cells.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	chest cavity	Most aardwolfs have (part) chest cavities.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	chest	Most aardwolfs have (part) chests.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	corpus	Most aardwolfs have (part) corpi.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	cytoplasm	Most aardwolfs have (part) cytoplasm.	-	y	n	n	animal_n1	substance_n1	WordNet3.0
1.00	most	aardwolf	has-part	ear	Most aardwolfs have (part) ears.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	face	Most aardwolfs have (part) faces.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	head	Most aardwolfs have (part) heads.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	nucleus	Most aardwolfs have (part) nuclei.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	pad	Most aardwolfs have (part) pads.	-	y	n	n	animal_n1	plant_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	paw	Most aardwolfs have (part) paws.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	pilus	Most aardwolfs have (part) piluses.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	plasma membrane	Most aardwolfs have (part) plasma membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	rib cage	Most aardwolfs have (part) rib cages.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	section	Most aardwolfs have (part) sections.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	aardwolf	has-part	skull	Most aardwolfs have (part) skulls.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	sternum	Most aardwolfs have (part) sterna.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	aardwolf	has-part	vacuole	Most aardwolfs have (part) vacuoles.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	abbey	has-part	base	Most abbeys have (part) bases.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	boiler	Most abbeys have (part) boilers.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	ceiling	Most abbeys have (part) ceilings.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	church tower	Most abbeys have (part) church towers.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	courtyard	Most abbeys have (part) courtyards.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	doorknob	Most abbeys have (part) doorknobs.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	doorstep	Most abbeys have (part) doorsteps.	-	y	n	n	building_n1	device_n1	WordNet3.0
1.00	most	abbey	has-part	elevator car	Most abbeys have (part) elevator cars.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	elevator	Most abbeys have (part) elevators.	-	y	n	n	building_n1	device_n1	WordNet3.0
1.00	most	abbey	has-part	floor	Most abbeys have (part) floors.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	foundation stone	Most abbeys have (part) foundation stones.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	hinge	Most abbeys have (part) hinges.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	interior door	Most abbeys have (part) interior doors.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	roadside	Most abbeys have (part) readsides.	-	y	n	n	building_n1	location_n1	WordNet3.0
1.00	most	abbey	has-part	roof peak	Most abbeys have (part) roof peaks.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	roof	Most abbeys have (part) roofs.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
