Type	ParentType
animal_n1	organism_n1
bird_n1	animal_n1
body_part_n1	Thing
building_n1	artifact_n1
clothing_n1	artifact_n1
fish_n1	animal_n1
food_n1	Thing
person_n1	organism_n1
illness_n1	state_n4
insect_n1	animal_n1
material_n1	substance_n1
plant_n2	organism_n1
plant_part_n1	Thing
sense_n3	knowledge_n1
shape_n2	Thing
sound_n4	event_n1
substance_n1	Thing
tool_n1	artifact_n1
transport_n1	artifact_n1
location_n1	Thing
device_n1	artifact_n1
feeling_n1	state_n4
period_n1	Thing
action_n1	event_n1
phenomenon_n1	Thing
activity_n1	event_n1
quality_n1	Thing
property_n3	Thing
social_group_n1	Thing
message_n2	Thing
event_n1	Thing
definite_quantity_n1	Thing
indefinite_quantity_n1	Thing
microorganism_n1	organism_n1
equipment_n1	artifact_n1
auditory_communication_n1	Thing
written_language_n1	Thing
state_n4	Thing
knowledge_n1	Thing
artifact_n1	Thing
water_n2	Thing
measuring_instrument_n1	device_n1
formation_n5	Thing
element_n2	substance_n1
organism_n1	Thing
heavenly_body_n1	Thing
process_n2	knowledge_n1
biome_n1	Thing
