questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
Ex1_SC_405198,405198,1,D,1,0,Exam-01,3,2015,Which of these will most likely increase a plant population in a habitat? (A) strong winds (B) freezing temperatures (C) fewer days of sunshine (D) more days of rain showers,,Train
Ex1_SC_405207,405207,1,C,1,0,Exam-01,3,2015,Which activity has the invention of the light bulb helped the most? (A) swimming (B) walking (C) reading (D) talking,,Train
Ex1_SC_405208,405208,1,C,1,0,Exam-01,3,2015,Which fact is a benefit of airplanes? (A) Airplanes are hard to fly. (B) Airplanes cost a lot of money. (C) Airplanes can travel very quickly. (D) Airplanes take off from the airport.,,Train
Ex1_SC_405233,405233,1,C,1,0,Exam-01,3,2015,"Deer live in forest for shelter. If the forest was cut down, which situation would most likely happen? (A) The deer would find shelter in a different habitat. (B) The deer would wait for the forest to grow back. (C) The deer would move to another forest area. (D) The deer would change the type of foods they eat.",,Train
Ex1_SC_405298,405298,1,C,1,0,Exam-01,3,2015,Which invention will best help people travel quickly to far away places? (A) car (B) boat (C) airplane (D) skateboard,,Train
Ex1_SC_405359,405359,1,B,1,0,Exam-01,3,2015,A student recorded the amount of rain that fell in one year in his city. What is the best way for him to organize his information? (A) diagram (B) graph (C) journal (D) map,,Train
Ex1_SC_405764,405764,1,A,1,0,Exam-01,3,2015,John was using his mp3 player when it suddenly stopped working. What is the first thing John should do to try correcting the problem? (A) recharge the battery (B) take the player apart (C) replace the player with a new one (D) change to a different song,,Train
Ex1_SC_405796,405796,1,B,1,0,Exam-01,3,2015,Which material should be used on a bicycle ramp to increase friction? (A) shiny metal (B) rough paper (C) smooth wood (D) wet plastic,,Train
Ex1_SC_405862,405862,1,C,1,0,Exam-01,3,2015,A student is looking at insects using a magnifying lens. What about the insects can best be seen with the magnifying lens? (A) different colors of insect bodies (B) how insects protect themselves (C) type of eyes insects have (D) size of the insects,,Train
Ex1_SC_406700,406700,1,A,1,0,Exam-01,3,2015,Which stage in the reptile life cycle is most like the birth of a lion cub? (A) hatching from an egg (B) shedding the skin (C) hunting for food (D) finding a mate,,Train
Ex1_SC_406702,406702,1,D,1,0,Exam-01,3,2015,A lizard most likely would be protected from its enemies if it has which characteristic? (A) claws to catch prey (B) a long tail to climb trees (C) eyes that can see far distances (D) skin color that matches its habitat,,Train
Ex1_SC_406726,406726,1,A,1,0,Exam-01,3,2015,A group of students are observing a fish tank for a school assignment. The group is to share the observations with the class. Which statement about observations is true? (A) Observations should always be recorded. (B) Observations should be collected only once. (C) Observations are only collected by scientists. (D) Observations are always correct if used in a chart.,,Train
Ex1_SC_406987,406987,1,B,1,0,Exam-01,3,2015,Which best explains how most soils are alike? (A) Most soils have many rocks. (B) Most soils are found in layers. (C) Most soils hold the same amounts of water. (D) Most soils have the same texture.,,Train
Ex1_SC_407137,407137,1,C,1,0,Exam-01,3,2015,Plants use nutrients found in soil. Which of these can break down in soil and become nutrients? (A) air (B) water (C) leaves (D) sunlight,,Train
Ex1_SC_411884,411884,1,C,1,0,Exam-01,3,2015,Which resource provides the minerals plants need to grow? (A) sunlight (B) water (C) soil (D) air,,Train
Ex1_SC_411888,411888,1,B,1,0,Exam-01,3,2015,Which material is most easily recycled at school? (A) plastic wrap (B) notebook paper (C) ice cream sticks (D) rubber erasers,,Train
