questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category
Ex1_400014,400014,1,A,1,0,Exam-01,6,2015,Which trait does a puppy inherit from its parents? (A) fur color and pattern (B) obedience to commands (C) food brand preferences (D) affection for a specific home,,Train
Ex1_400025,400025,1,D,1,0,Exam-01,6,2015,"Four identical candles are set on a safe surface and lit. One is covered with a small-sized jar, one is covered with a large-sized jar, and one candle is left in the open. A fourth lit candle is placed in a vacuum. Which candle will most likely stay lit the longest? (A) the candle placed in the vacuum (B) the candle covered with the small-sized jar (C) the candle covered with the large-sized jar (D) the candle left out in the open",,Train
Ex1_400056,400056,1,A,1,0,Exam-01,6,2015,Which plant trait is inherited? (A) the shape of its leaves (B) the amount of water it receives (C) the number of minerals it absorbs from soil (D) the level of sunlight to which it is exposed,,Train
Ex1_400159,400159,1,A,1,0,Exam-01,6,2015,Which behavior is a learned behavior? (A) eating with a fork (B) shivering when it is cold (C) squinting your eyes in bright light (D) developing a fever when you are sick,,Train
Ex1_400219,400219,1,D,1,0,Exam-01,6,2015,Which dog trait is a learned behavior? (A) blinking its eyes (B) scratching an itch (C) panting to cool off (D) jumping to catch a ball,,Train
Ex1_400308,400308,1,D,1,0,Exam-01,6,2015,Which behavior of a dog is the best example of a learned behavior? (A) barking (B) tail-wagging (C) digging a hole (D) coming when called,,Train
Ex1_400613,400613,1,A,1,0,Exam-01,6,2015,Why do planets stay in orbit around the Sun? (A) attraction of gravity (B) effect of inertia (C) frictional force (D) rotational force,,Train
Ex1_400686,400686,1,D,1,0,Exam-01,6,2015,"The metal lid on a glass jar is hard to open, so it is held under warm, running water. What causes the jar to open easily after it was held under the water? (A) The water increased the pressure under the lid. (B) The jar shrunk with the warm water. (C) The water acted as a lubricant between the glass and the metal. (D) The metal lid expanded under warm water.",,Train
Ex1_401003,401003,1,D,1,0,Exam-01,6,2015,In what way does society benefit from research on diseases? (A) New illnesses will develop. (B) Doctors will visit their patients at home. (C) More families will move closer to hospitals. (D) Many illnesses will be prevented or cured.,,Train
Ex1_401008,401008,1,B,1,0,Exam-01,6,2015,"A student flips a coin four times. It lands """"heads"""" up three times. The student concludes that the coin will land """"heads"""" up three times out of four. What will make the conclusion more accurate? (A) substituting a different coin (B) flipping the coin twenty more times (C) taping a weight to one side of the coin (D) flipping the coin over a smoother surface",,Train
